        Time                 U                 r                K
  100.000000    2.88813111e-07               inf    3.49456621e-03
  200.000000    3.09439451e-07    7.14176051e-02    3.74413976e-03
  300.000000    3.13364710e-07    1.26850617e-02    3.79163441e-03
  400.000000    3.14547232e-07    3.77362995e-03    3.80594263e-03
  500.000000    3.14826440e-07    8.87649115e-04    3.80932097e-03
  600.000000    3.14909515e-07    2.63875660e-04    3.81032616e-03
  700.000000    3.14937598e-07    8.91799830e-05    3.81066596e-03
  800.000000    3.14946485e-07    2.82161813e-05    3.81077349e-03
  900.000000    3.14949174e-07    8.53910692e-06    3.81080603e-03
