        Time                 U                 r                K
  100.000000    3.56865964e-07               inf    2.62317806e-03
  200.000000    4.10338699e-07    1.49839828e-01    3.01623461e-03
  300.000000    4.23638314e-07    3.24113120e-02    3.11399473e-03
  400.000000    4.24591216e-07    2.24932865e-03    3.12099913e-03
  500.000000    4.23418532e-07    2.76191366e-03    3.11237920e-03
  600.000000    4.22966940e-07    1.06653806e-03    3.10905973e-03
  700.000000    4.22840869e-07    2.98063978e-04    3.10813303e-03
  800.000000    4.22824250e-07    3.93016605e-05    3.10801087e-03
  900.000000    4.22876263e-07    1.23013735e-04    3.10839320e-03
 1000.000000    4.22909126e-07    7.77125367e-05    3.10863476e-03
 1100.000000    4.22917030e-07    1.86885461e-05    3.10869286e-03
 1200.000000    4.22916371e-07    1.55740021e-06    3.10868802e-03
