        Time                 U                 r                K
  100.000000    2.08238917e-07               inf    3.52749415e-03
  200.000000    2.12936114e-07    2.25567664e-02    3.60706301e-03
  300.000000    2.12233174e-07    3.30117617e-03    3.59515546e-03
  400.000000    2.12212212e-07    9.87710528e-05    3.59480036e-03
  500.000000    2.12235610e-07    1.10257363e-04    3.59519672e-03
  600.000000    2.12233396e-07    1.04285862e-05    3.59515922e-03
  700.000000    2.12231266e-07    1.00393169e-05    3.59512313e-03
  800.000000    2.12230710e-07    2.61642757e-06    3.59511372e-03
