        Time                 U                 r                K
  100.000000    1.34370937e-07               inf    4.22722207e-03
  200.000000    1.31985488e-07    1.77527170e-02    4.15217740e-03
  300.000000    1.30458622e-07    1.15684365e-02    4.10414320e-03
  400.000000    1.30072364e-07    2.96077558e-03    4.09199175e-03
  500.000000    1.29981143e-07    7.01303920e-04    4.08912202e-03
  600.000000    1.29953904e-07    2.09564664e-04    4.08826508e-03
  700.000000    1.29943719e-07    7.83716679e-05    4.08794468e-03
  800.000000    1.29939681e-07    3.10759182e-05    4.08781764e-03
  900.000000    1.29938154e-07    1.17486949e-05    4.08776962e-03
 1000.000000    1.29937674e-07    3.69949252e-06    4.08775449e-03
