        Time                 U                 r                K
  100.000000    3.88593067e-07               inf    2.47553906e-03
  200.000000    4.60484472e-07    1.85004343e-01    2.93352454e-03
  300.000000    4.81396779e-07    4.54137078e-02    3.06674676e-03
  400.000000    4.85382235e-07    8.27894158e-03    3.09213618e-03
  500.000000    4.85920956e-07    1.10989053e-03    3.09556811e-03
  600.000000    4.86542554e-07    1.27921499e-03    3.09952801e-03
  700.000000    4.87021743e-07    9.84886961e-04    3.10258069e-03
  800.000000    4.87326864e-07    6.26503173e-04    3.10452447e-03
  900.000000    4.87539422e-07    4.36171700e-04    3.10587858e-03
 1000.000000    4.87632393e-07    1.90694420e-04    3.10647085e-03
 1100.000000    4.87660959e-07    5.85806889e-05    3.10665283e-03
 1200.000000    4.87670365e-07    1.92881397e-05    3.10671275e-03
 1300.000000    4.87673639e-07    6.71346131e-06    3.10673361e-03
