        Time                 U                 r                K
  100.000000    7.01757970e-07               inf    1.03166807e-03
  200.000000    1.09577436e-06    5.61470485e-01    1.61091925e-03
  300.000000    1.35215699e-06    2.33973933e-01    1.98783236e-03
  400.000000    1.52543170e-06    1.28146887e-01    2.24256689e-03
  500.000000    1.65820727e-06    8.70413066e-02    2.43776284e-03
  600.000000    1.75608318e-06    5.90251376e-02    2.58165213e-03
  700.000000    1.82641697e-06    4.00515120e-02    2.68505120e-03
  800.000000    1.87970124e-06    2.91742068e-02    2.76338544e-03
  900.000000    1.92087644e-06    2.19051829e-02    2.82391790e-03
 1000.000000    1.95351212e-06    1.69899947e-02    2.87189625e-03
 1100.000000    1.97936828e-06    1.32357319e-02    2.90990790e-03
 1200.000000    1.99974887e-06    1.02965149e-02    2.93986981e-03
 1300.000000    2.01601836e-06    8.13576328e-03    2.96378790e-03
 1400.000000    2.02917940e-06    6.52823709e-03    2.98313621e-03
 1500.000000    2.03991279e-06    5.28951853e-03    2.99891556e-03
 1600.000000    2.04876168e-06    4.33787633e-03    3.01192449e-03
 1700.000000    2.05608187e-06    3.57298518e-03    3.02268605e-03
 1800.000000    2.06211886e-06    2.93616458e-03    3.03156115e-03
 1900.000000    2.06713344e-06    2.43175827e-03    3.03893317e-03
 2000.000000    2.07134445e-06    2.03712349e-03    3.04512386e-03
 2100.000000    2.07489130e-06    1.71234174e-03    3.05033815e-03
 2200.000000    2.07788556e-06    1.44309348e-03    3.05474007e-03
 2300.000000    2.08042080e-06    1.22010806e-03    3.05846719e-03
 2400.000000    2.08256935e-06    1.03274864e-03    3.06162581e-03
 2500.000000    2.08439860e-06    8.78360882e-04    3.06431503e-03
 2600.000000    2.08596308e-06    7.50565050e-04    3.06661499e-03
 2700.000000    2.08730263e-06    6.42175847e-04    3.06858430e-03
 2800.000000    2.08845086e-06    5.50102119e-04    3.07027233e-03
 2900.000000    2.08943677e-06    4.72075016e-04    3.07172173e-03
 3000.000000    2.09028484e-06    4.05884725e-04    3.07296850e-03
 3100.000000    2.09101600e-06    3.49788893e-04    3.07404339e-03
 3200.000000    2.09164723e-06    3.01876354e-04    3.07497137e-03
 3300.000000    2.09219254e-06    2.60712436e-04    3.07577305e-03
 3400.000000    2.09266408e-06    2.25379097e-04    3.07646627e-03
 3500.000000    2.09307226e-06    1.95052954e-04    3.07706634e-03
 3600.000000    2.09342598e-06    1.68995340e-04    3.07758635e-03
 3700.000000    2.09373277e-06    1.46549920e-04    3.07803737e-03
 3800.000000    2.09399901e-06    1.27159186e-04    3.07842877e-03
 3900.000000    2.09423018e-06    1.10396670e-04    3.07876862e-03
 4000.000000    2.09443102e-06    9.59015482e-05    3.07906388e-03
 4100.000000    2.09460561e-06    8.33574788e-05    3.07932054e-03
 4200.000000    2.09475745e-06    7.24934126e-05    3.07954377e-03
 4300.000000    2.09488957e-06    6.30709573e-05    3.07973800e-03
 4400.000000    2.09500456e-06    5.48911512e-05    3.07990705e-03
 4500.000000    2.09510468e-06    4.77886281e-05    3.08005424e-03
 4600.000000    2.09519187e-06    4.16190901e-05    3.08018243e-03
 4700.000000    2.09526784e-06    3.62569997e-05    3.08029410e-03
 4800.000000    2.09533404e-06    3.15938701e-05    3.08039142e-03
 4900.000000    2.09539173e-06    2.75364020e-05    3.08047625e-03
 5000.000000    2.09544203e-06    2.40048855e-05    3.08055019e-03
 5100.000000    2.09548589e-06    2.09303597e-05    3.08061467e-03
 5200.000000    2.09552414e-06    1.82528637e-05    3.08067090e-03
 5300.000000    2.09555750e-06    1.59204510e-05    3.08071994e-03
 5400.000000    2.09558661e-06    1.38880120e-05    3.08076273e-03
 5500.000000    2.09561200e-06    1.21165316e-05    3.08080006e-03
 5600.000000    2.09563415e-06    1.05722685e-05    3.08083263e-03
 5700.000000    2.09565349e-06    9.22584208e-06    3.08086105e-03
