        Time                 U                 r                K
  100.000000    1.07665155e-07               inf    3.90816414e-03
  200.000000    1.04999773e-07    2.47562248e-02    3.81141275e-03
  300.000000    1.03503817e-07    1.42472285e-02    3.75711068e-03
  400.000000    1.03006049e-07    4.80917358e-03    3.73904209e-03
  500.000000    1.02833153e-07    1.67850219e-03    3.73276609e-03
  600.000000    1.02765455e-07    6.58333141e-04    3.73030869e-03
  700.000000    1.02735842e-07    2.88158941e-04    3.72923377e-03
  800.000000    1.02721870e-07    1.36002203e-04    3.72872659e-03
  900.000000    1.02714916e-07    6.76880582e-05    3.72847420e-03
 1000.000000    1.02711308e-07    3.51359044e-05    3.72834319e-03
 1100.000000    1.02709365e-07    1.89140720e-05    3.72827267e-03
 1200.000000    1.02708284e-07    1.05218184e-05    3.72823345e-03
 1300.000000    1.02707665e-07    6.03135091e-06    3.72821096e-03
