        Time                 U                 r                K
  100.000000    1.18953816e-07               inf    3.74220948e-03
  200.000000    1.16426272e-07    2.12481068e-02    3.66269461e-03
  300.000000    1.14749739e-07    1.43999532e-02    3.60995198e-03
  400.000000    1.14253971e-07    4.32043256e-03    3.59435543e-03
  500.000000    1.14109989e-07    1.26019376e-03    3.58982584e-03
  600.000000    1.14059164e-07    4.45400401e-04    3.58822693e-03
  700.000000    1.14037428e-07    1.90571576e-04    3.58754312e-03
  800.000000    1.14027189e-07    8.97845928e-05    3.58722101e-03
  900.000000    1.14022122e-07    4.44380991e-05    3.58706160e-03
 1000.000000    1.14019514e-07    2.28699118e-05    3.58697957e-03
 1100.000000    1.14018121e-07    1.22211357e-05    3.58693573e-03
 1200.000000    1.14017349e-07    6.77043526e-06    3.58691145e-03
