        Time                 U                 r                K
  100.000000    2.83852494e-07               inf    3.43454400e-03
  200.000000    3.03782639e-07    7.02130351e-02    3.67569376e-03
  300.000000    3.07430539e-07    1.20082549e-02    3.71983242e-03
  400.000000    3.08563058e-07    3.68382213e-03    3.73353563e-03
  500.000000    3.08828711e-07    8.60935211e-04    3.73674996e-03
  600.000000    3.08904640e-07    2.45860663e-04    3.73766868e-03
  700.000000    3.08930311e-07    8.31034507e-05    3.73797929e-03
  800.000000    3.08938509e-07    2.65364188e-05    3.73807848e-03
  900.000000    3.08940927e-07    7.82720712e-06    3.73810774e-03
