        Time                 U                 r                K
  100.000000    1.65931493e-07               inf    3.61391302e-03
  200.000000    1.65729086e-07    1.21982518e-03    3.60950468e-03
  300.000000    1.64071060e-07    1.00044310e-02    3.57339364e-03
  400.000000    1.63752708e-07    1.94033459e-03    3.56646006e-03
  500.000000    1.63723711e-07    1.77077928e-04    3.56582852e-03
  600.000000    1.63717527e-07    3.77697976e-05    3.56569384e-03
  700.000000    1.63713502e-07    2.45862838e-05    3.56560617e-03
  800.000000    1.63711447e-07    1.25486485e-05    3.56556142e-03
  900.000000    1.63710527e-07    5.62302015e-06    3.56554138e-03
