        Time                 U                 r                K
  100.000000    1.17148775e-07               inf    4.25241241e-03
  200.000000    1.14538604e-07    2.22808272e-02    4.15766515e-03
  300.000000    1.13085561e-07    1.26860551e-02    4.10492078e-03
  400.000000    1.12634387e-07    3.98966991e-03    4.08854350e-03
  500.000000    1.12489493e-07    1.28641131e-03    4.08328395e-03
  600.000000    1.12436251e-07    4.73299898e-04    4.08135133e-03
  700.000000    1.12414105e-07    1.96970659e-04    4.08054743e-03
  800.000000    1.12404127e-07    8.87575551e-05    4.08018525e-03
  900.000000    1.12399386e-07    4.21780347e-05    4.08001315e-03
 1000.000000    1.12397037e-07    2.09004849e-05    4.07992788e-03
 1100.000000    1.12395829e-07    1.07449295e-05    4.07988404e-03
 1200.000000    1.12395187e-07    5.71248642e-06    4.07986073e-03
