        Time                 U                 r                K
  100.000000    1.54895604e-07               inf    4.12323551e-03
  200.000000    1.53259701e-07    1.05613269e-02    4.07968868e-03
  300.000000    1.51702752e-07    1.01588892e-02    4.03824357e-03
  400.000000    1.51383615e-07    2.10370157e-03    4.02974831e-03
  500.000000    1.51337155e-07    3.06904307e-04    4.02851156e-03
  600.000000    1.51326123e-07    7.28969825e-05    4.02821790e-03
  700.000000    1.51321303e-07    3.18464075e-05    4.02808961e-03
  800.000000    1.51319111e-07    1.44898792e-05    4.02803125e-03
  900.000000    1.51318149e-07    6.35770079e-06    4.02800564e-03
