        Time                 U                 r                K
  100.000000    5.28241647e-07               inf    1.81201614e-03
  200.000000    7.13472812e-07    3.50656116e-01    2.44741068e-03
  300.000000    7.97858865e-07    1.18275079e-01    2.73687837e-03
  400.000000    8.36809128e-07    4.88184873e-02    2.87048863e-03
  500.000000    8.60617010e-07    2.84507923e-02    2.95215631e-03
  600.000000    8.76183008e-07    1.80870209e-02    3.00555202e-03
  700.000000    8.85557911e-07    1.06997088e-02    3.03771055e-03
  800.000000    8.91378506e-07    6.57279971e-03    3.05767682e-03
  900.000000    8.95066396e-07    4.13728870e-03    3.07032731e-03
 1000.000000    8.97423097e-07    2.63299025e-03    3.07841145e-03
 1100.000000    8.99080884e-07    1.84727425e-03    3.08409812e-03
 1200.000000    9.00262192e-07    1.31390691e-03    3.08815034e-03
 1300.000000    9.01079142e-07    9.07457734e-04    3.09095270e-03
 1400.000000    9.01651482e-07    6.35171112e-04    3.09291599e-03
 1500.000000    9.02055126e-07    4.47671830e-04    3.09430060e-03
 1600.000000    9.02338736e-07    3.14404229e-04    3.09527346e-03
 1700.000000    9.02540506e-07    2.23607878e-04    3.09596559e-03
 1800.000000    9.02686216e-07    1.61445169e-04    3.09646542e-03
 1900.000000    9.02791339e-07    1.16455498e-04    3.09682602e-03
 2000.000000    9.02866879e-07    8.36731991e-05    3.09708514e-03
 2100.000000    9.02921203e-07    6.01686842e-05    3.09727149e-03
 2200.000000    9.02960287e-07    4.32861319e-05    3.09740556e-03
 2300.000000    9.02988467e-07    3.12082664e-05    3.09750222e-03
 2400.000000    9.03008850e-07    2.25725904e-05    3.09757214e-03
 2500.000000    9.03023604e-07    1.63393743e-05    3.09762275e-03
 2600.000000    9.03034281e-07    1.18232822e-05    3.09765938e-03
 2700.000000    9.03042005e-07    8.55358737e-06    3.09768587e-03
