        Time                 U                 r                K
  100.000000    1.18815351e-07               inf    4.31290784e-03
  200.000000    1.16216671e-07    2.18715813e-02    4.21857773e-03
  300.000000    1.14794800e-07    1.22346560e-02    4.16696488e-03
  400.000000    1.14366429e-07    3.73162555e-03    4.15141533e-03
  500.000000    1.14236485e-07    1.13620673e-03    4.14669846e-03
  600.000000    1.14195479e-07    3.58960054e-04    4.14520996e-03
  700.000000    1.14186373e-07    7.97382473e-05    4.14487943e-03
  800.000000    1.14192464e-07    5.33419405e-05    4.14510053e-03
  900.000000    1.14208752e-07    1.42636415e-04    4.14569177e-03
 1000.000000    1.14234572e-07    2.26080239e-04    4.14662903e-03
 1100.000000    1.14271439e-07    3.22728754e-04    4.14796726e-03
 1200.000000    1.14322439e-07    4.46305467e-04    4.14981852e-03
 1300.000000    1.14392228e-07    6.10459225e-04    4.15235182e-03
 1400.000000    1.14487350e-07    8.31541446e-04    4.15580467e-03
 1500.000000    1.14616803e-07    1.13072139e-03    4.16050373e-03
 1600.000000    1.14792873e-07    1.53616068e-03    4.16689493e-03
 1700.000000    1.15032288e-07    2.08562246e-03    4.17558550e-03
 1800.000000    1.15357803e-07    2.82977784e-03    4.18740148e-03
 1900.000000    1.15800366e-07    3.83643488e-03    4.20346617e-03
 2000.000000    1.16402051e-07    5.19588457e-03    4.22530690e-03
 2100.000000    1.17220065e-07    7.02748396e-03    4.25500017e-03
 2200.000000    1.18332181e-07    9.48741755e-03    4.29536914e-03
 2300.000000    1.19844135e-07    1.27772036e-02    4.35025194e-03
 2400.000000    1.21899680e-07    1.71518190e-02    4.42486668e-03
 2500.000000    1.24694250e-07    2.29251604e-02    4.52630746e-03
 2600.000000    1.28493541e-07    3.04688593e-02    4.66421888e-03
 2700.000000    1.33658774e-07    4.01983874e-02    4.85171296e-03
 2800.000000    1.40681032e-07    5.25386956e-02    5.10661563e-03
 2900.000000    1.50227945e-07    6.78621173e-02    5.45316138e-03
 3000.000000    1.63207155e-07    8.63967781e-02    5.92429695e-03
 3100.000000    1.80852592e-07    1.08116809e-01    6.56481303e-03
 3200.000000    2.04841747e-07    1.32644794e-01    7.43560130e-03
 3300.000000    2.37455088e-07    1.59212376e-01    8.61944105e-03
 3400.000000    2.81792738e-07    1.86720152e-01    1.02288644e-02
 3500.000000    3.42068958e-07    2.13902673e-01    1.24168458e-02
 3600.000000    4.24012334e-07    2.39552213e-01    1.53913287e-02
 3700.000000    5.35409522e-07    2.62721576e-01    1.94349629e-02
 3800.000000    6.86843892e-07    2.82838395e-01    2.49319166e-02
 3900.000000    8.92698636e-07    2.99711108e-01    3.24042889e-02
 4000.000000    1.17251850e-06    3.13453897e-01    4.25615396e-02
 4100.000000    1.55285737e-06    3.24377711e-01    5.63675543e-02
 4200.000000    2.06978318e-06    3.32886854e-01    7.51315722e-02
 4300.000000    2.77227069e-06    3.39401499e-01    1.00631340e-01
 4400.000000    3.72682959e-06    3.44323844e-01    1.35281110e-01
 4500.000000    5.04700263e-06    3.54234881e-01    1.83202398e-01
 4600.000000    6.97537540e-06    3.82082776e-01    2.53200879e-01
 4700.000000    1.00440855e-05    4.39934757e-01    3.64592747e-01
 4800.000000    1.52360664e-05    5.16919233e-01    5.53057749e-01
 4900.000000    2.45084590e-05    6.08581792e-01    8.89638625e-01
 5000.000000    4.16260452e-05    6.98435838e-01    1.51099412e+00
 5100.000000    7.15128854e-05    7.17984140e-01    2.59586394e+00
 5200.000000    1.18790554e-04    6.61106995e-01    4.31200775e+00
 5300.000000    1.91143458e-04    6.09079608e-01    6.93836374e+00
 5400.000000    2.99574620e-04    5.67276342e-01    1.08743333e+01
 5500.000000    4.59918766e-04    5.35239418e-01    1.66947052e+01
 5600.000000    6.91369389e-04    5.03242399e-01    2.50961887e+01
 5700.000000    1.01014380e-03    4.61076843e-01    3.66674601e+01
 5800.000000    1.42510486e-03    4.10794044e-01    5.17302344e+01
 5900.000000    1.92046004e-03    3.47592092e-01    6.97112548e+01
 6000.000000    2.45430745e-03    2.77978922e-01    8.90895142e+01
 6100.000000    2.96086503e-03    2.06395322e-01    1.07477173e+02
 6200.000000    3.38799547e-03    1.44258666e-01    1.22981687e+02
 6300.000000    3.71529671e-03    9.66061607e-02    1.34862475e+02
 6400.000000    3.95110847e-03    6.34705066e-02    1.43422265e+02
 6500.000000    4.11328911e-03    4.10468698e-02    1.49309300e+02
 6600.000000    4.22113554e-03    2.62190249e-02    1.53224044e+02
 6700.000000    4.29104769e-03    1.65624043e-02    1.55761803e+02
 6800.000000    4.33570270e-03    1.04065525e-02    1.57382746e+02
 6900.000000    4.36395209e-03    6.51552777e-03    1.58408178e+02
 7000.000000    4.38170364e-03    4.06776810e-03    1.59052546e+02
