        Time                 U                 r                K
  100.000000    1.71602043e-07               inf    3.73741505e-03
  200.000000    1.71621774e-07    1.14981245e-04    3.73784478e-03
  300.000000    1.70099733e-07    8.86857948e-03    3.70469541e-03
  400.000000    1.69832541e-07    1.57079405e-03    3.69887609e-03
  500.000000    1.69814673e-07    1.05214040e-04    3.69848692e-03
  600.000000    1.69810981e-07    2.17408448e-05    3.69840651e-03
  700.000000    1.69808119e-07    1.68507705e-05    3.69834419e-03
  800.000000    1.69806684e-07    8.45456020e-06    3.69831292e-03
