        Time                 U                 r                K
  100.000000    6.42362243e-04               inf    3.77373574e-02
  200.000000    9.29698175e-04    4.47311367e-01    5.46177063e-02
  300.000000    1.07647354e-03    1.57874209e-01    6.32404335e-02
  400.000000    1.15349369e-03    7.15485808e-02    6.77651968e-02
  500.000000    1.19424799e-03    3.53311857e-02    7.01594215e-02
  600.000000    1.21586301e-03    1.80992700e-02    7.14292558e-02
  700.000000    1.22732988e-03    9.43105449e-03    7.21029091e-02
  800.000000    1.23341116e-03    4.95488633e-03    7.24601708e-02
  900.000000    1.23663524e-03    2.61394973e-03    7.26495780e-02
 1000.000000    1.23834422e-03    1.38196133e-03    7.27499769e-02
 1100.000000    1.23925005e-03    7.31483933e-04    7.28031924e-02
 1200.000000    1.23973018e-03    3.87436891e-04    7.28313990e-02
 1300.000000    1.23998468e-03    2.05286436e-04    7.28463503e-02
 1400.000000    1.24011958e-03    1.08795419e-04    7.28542757e-02
 1500.000000    1.24019109e-03    5.76646886e-05    7.28584768e-02
 1600.000000    1.24022900e-03    3.05656998e-05    7.28607037e-02
 1700.000000    1.24024910e-03    1.62020829e-05    7.28618842e-02
 1800.000000    1.24025975e-03    8.58841352e-06    7.28625100e-02
