        Time                 U                 r                K
  100.000000    3.83032997e-04               inf    6.25064979e-02
  200.000000    4.39559149e-04    1.47575149e-01    7.17309037e-02
  300.000000    4.48976699e-04    2.14249895e-02    7.32677375e-02
  400.000000    4.50567926e-04    3.54411986e-03    7.35274072e-02
  500.000000    4.50836995e-04    5.97176059e-04    7.35713160e-02
  600.000000    4.50882453e-04    1.00831818e-04    7.35787343e-02
  700.000000    4.50890132e-04    1.70310003e-05    7.35799874e-02
  800.000000    4.50891429e-04    2.87702018e-06    7.35801991e-02
