        Time                 U                 r                K
  100.000000    7.79529530e-04               inf    2.33651180e-02
  200.000000    1.27329917e-03    6.33420056e-01    3.81650524e-02
  300.000000    1.60727965e-03    2.62295371e-01    4.81755690e-02
  400.000000    1.83829315e-03    1.43729504e-01    5.50998197e-02
  500.000000    2.00368014e-03    8.99676901e-02    6.00570231e-02
  600.000000    2.12418253e-03    6.01405318e-02    6.36688845e-02
  700.000000    2.21147322e-03    4.10937818e-02    6.62852797e-02
  800.000000    2.27421430e-03    2.83707152e-02    6.81658405e-02
  900.000000    2.31942256e-03    1.98786275e-02    6.95208838e-02
 1000.000000    2.35220314e-03    1.41330763e-02    7.05034278e-02
 1100.000000    2.37600627e-03    1.01195081e-02    7.12168878e-02
 1200.000000    2.39324570e-03    7.25563330e-03    7.17336114e-02
 1300.000000    2.40571273e-03    5.20925318e-03    7.21072900e-02
 1400.000000    2.41473773e-03    3.75148876e-03    7.23777997e-02
 1500.000000    2.42127924e-03    2.70899384e-03    7.25738707e-02
 1600.000000    2.42602028e-03    1.95807183e-03    7.27159755e-02
 1700.000000    2.42945401e-03    1.41537694e-03    7.28188960e-02
 1800.000000    2.43194045e-03    1.02345701e-03    7.28934231e-02
 1900.000000    2.43374153e-03    7.40591600e-04    7.29474073e-02
 2000.000000    2.43504644e-03    5.36176292e-04    7.29865200e-02
 2100.000000    2.43599179e-03    3.88224076e-04    7.30148551e-02
 2200.000000    2.43667653e-03    2.81095458e-04    7.30353792e-02
 2300.000000    2.43717252e-03    2.03550308e-04    7.30502456e-02
 2400.000000    2.43753181e-03    1.47421549e-04    7.30610148e-02
 2500.000000    2.43779209e-03    1.06779509e-04    7.30688162e-02
 2600.000000    2.43798063e-03    7.73422133e-05    7.30744675e-02
 2700.000000    2.43811721e-03    5.60202604e-05    7.30785612e-02
 2800.000000    2.43821614e-03    4.05776744e-05    7.30815265e-02
 2900.000000    2.43828781e-03    2.93930416e-05    7.30836746e-02
 3000.000000    2.43833973e-03    2.12915601e-05    7.30852307e-02
 3100.000000    2.43837733e-03    1.54230211e-05    7.30863579e-02
 3200.000000    2.43840457e-03    1.11720273e-05    7.30871744e-02
 3300.000000    2.43842431e-03    8.09278783e-06    7.30877659e-02
