        Time                 U                 r                K
  100.000000    9.41693169e-04               inf    1.14302450e-02
  200.000000    1.64718934e-03    7.49178386e-01    1.99935374e-02
  300.000000    2.24832186e-03    3.64944399e-01    2.72900669e-02
  400.000000    2.73975810e-03    2.18579132e-01    3.32551061e-02
  500.000000    3.16651942e-03    1.55766057e-01    3.84351228e-02
  600.000000    3.52813508e-03    1.14199728e-01    4.28244034e-02
  700.000000    3.84430733e-03    8.96145554e-02    4.66620933e-02
  800.000000    4.11720945e-03    7.09886320e-02    4.99745714e-02
  900.000000    4.35551331e-03    5.78799455e-02    5.28670969e-02
 1000.000000    4.56319819e-03    4.76832166e-02    5.53879701e-02
 1100.000000    4.74443777e-03    3.97176652e-02    5.75878510e-02
 1200.000000    4.90338109e-03    3.35009799e-02    5.95171004e-02
 1300.000000    5.04203237e-03    2.82766691e-02    6.12000458e-02
 1400.000000    5.16399320e-03    2.41888242e-02    6.26804029e-02
 1500.000000    5.27036033e-03    2.05978434e-02    6.39714841e-02
 1600.000000    5.36406926e-03    1.77803658e-02    6.51089205e-02
 1700.000000    5.44582739e-03    1.52418102e-02    6.61012983e-02
 1800.000000    5.51790294e-03    1.32350055e-02    6.69761493e-02
 1900.000000    5.58081958e-03    1.14022739e-02    6.77398297e-02
 2000.000000    5.63628629e-03    9.93881096e-03    6.84130831e-02
 2100.000000    5.68473591e-03    8.59601712e-03    6.90011631e-02
 2200.000000    5.72743795e-03    7.51170156e-03    6.95194792e-02
 2300.000000    5.76476375e-03    6.51701620e-03    6.99725388e-02
 2400.000000    5.79764804e-03    5.70435942e-03    7.03716873e-02
 2500.000000    5.82641120e-03    4.96117850e-03    7.07208138e-02
 2600.000000    5.85173979e-03    4.34720217e-03    7.10282515e-02
 2700.000000    5.87390780e-03    3.78827569e-03    7.12973261e-02
 2800.000000    5.89341962e-03    3.32177988e-03    7.15341601e-02
 2900.000000    5.91050605e-03    2.89923765e-03    7.17415547e-02
 3000.000000    5.92553860e-03    2.54336066e-03    7.19240193e-02
 3100.000000    5.93870876e-03    2.22261023e-03    7.20838784e-02
 3200.000000    5.95029129e-03    1.95034509e-03    7.22244668e-02
 3300.000000    5.96044294e-03    1.70607567e-03    7.23476872e-02
 3400.000000    5.96936783e-03    1.49735324e-03    7.24560173e-02
 3500.000000    5.97719277e-03    1.31084987e-03    7.25509962e-02
