        Time                 U                 r                K
  100.000000    9.42996293e-04               inf    1.14460622e-02
  200.000000    1.64957856e-03    7.49294854e-01    2.00225378e-02
  300.000000    2.25146961e-03    3.64875647e-01    2.73282742e-02
  400.000000    2.74378359e-03    2.18663391e-01    3.33039673e-02
  500.000000    3.17111690e-03    1.55745999e-01    3.84909270e-02
  600.000000    3.53343828e-03    1.14256708e-01    4.28887736e-02
  700.000000    3.85006405e-03    8.96084068e-02    4.67319682e-02
  800.000000    4.12353992e-03    7.10315105e-02    5.00514105e-02
  900.000000    4.36222434e-03    5.78833784e-02    5.29485552e-02
 1000.000000    4.57037688e-03    4.77170646e-02    5.54751049e-02
 1100.000000    4.75193786e-03    3.97256036e-02    5.76788869e-02
 1200.000000    4.91126033e-03    3.35278932e-02    5.96127385e-02
 1300.000000    5.05018493e-03    2.82869553e-02    6.12990013e-02
 1400.000000    5.17245414e-03    2.42108391e-02    6.27831016e-02
 1500.000000    5.27905312e-03    2.06089753e-02    6.40769970e-02
 1600.000000    5.37301213e-03    1.77984575e-02    6.52174687e-02
 1700.000000    5.45496539e-03    1.52527600e-02    6.62122151e-02
 1800.000000    5.52724362e-03    1.32499891e-02    6.70895262e-02
 1900.000000    5.59032358e-03    1.14125531e-02    6.78551890e-02
 2000.000000    5.64595451e-03    9.95128902e-03    6.85304356e-02
 2100.000000    5.69453987e-03    8.60533949e-03    6.91201633e-02
 2200.000000    5.73737481e-03    7.52210763e-03    6.96400926e-02
 2300.000000    5.77481275e-03    6.52527368e-03    7.00945132e-02
 2400.000000    5.80780452e-03    5.71304698e-03    7.04949665e-02
 2500.000000    5.83665984e-03    4.96836892e-03    7.08452115e-02
 2600.000000    5.86207528e-03    4.35445021e-03    7.11537034e-02
 2700.000000    5.88431865e-03    3.79445247e-03    7.14236928e-02
 2800.000000    5.90390059e-03    3.32781730e-03    7.16613778e-02
 2900.000000    5.92104840e-03    2.90448788e-03    7.18695174e-02
 3000.000000    5.93613747e-03    2.54837903e-03    7.20526681e-02
 3100.000000    5.94935745e-03    2.22703451e-03    7.22131319e-02
 3200.000000    5.96098551e-03    1.95450555e-03    7.23542729e-02
 3300.000000    5.97117746e-03    1.70977724e-03    7.24779826e-02
 3400.000000    5.98013896e-03    1.50079277e-03    7.25867570e-02
 3500.000000    5.98799644e-03    1.31392811e-03    7.26821308e-02
 3600.000000    5.99490324e-03    1.15344178e-03    7.27659654e-02
 3700.000000    6.00096088e-03    1.01046558e-03    7.28394929e-02
 3800.000000    6.00628432e-03    8.87096486e-04    7.29041085e-02
 3900.000000    6.01095434e-03    7.77522693e-04    7.29607931e-02
 4000.000000    6.01505752e-03    6.82616523e-04    7.30105974e-02
 4100.000000    6.01865773e-03    5.98533710e-04    7.30542967e-02
 4200.000000    6.02182044e-03    5.25484900e-04    7.30926856e-02
 4300.000000    6.02459589e-03    4.60897717e-04    7.31263739e-02
 4400.000000    6.02703374e-03    4.04650758e-04    7.31559645e-02
 4500.000000    6.02917334e-03    3.54999559e-04    7.31819349e-02
 4600.000000    6.03105250e-03    3.11677709e-04    7.32047440e-02
 4700.000000    6.03270190e-03    2.73484807e-04    7.32247644e-02
 4800.000000    6.03415042e-03    2.40111093e-04    7.32423465e-02
 4900.000000    6.03542192e-03    2.10717956e-04    7.32577800e-02
 5000.000000    6.03653850e-03    1.85004033e-04    7.32713330e-02
 5100.000000    6.03751868e-03    1.62374634e-04    7.32832304e-02
 5200.000000    6.03837939e-03    1.42560206e-04    7.32936776e-02
 5300.000000    6.03913499e-03    1.25133018e-04    7.33028491e-02
 5400.000000    6.03979847e-03    1.09863271e-04    7.33109024e-02
 5500.000000    6.04038094e-03    9.64393267e-05    7.33179724e-02
 5600.000000    6.04089239e-03    8.46711208e-05    7.33241804e-02
 5700.000000    6.04134140e-03    7.43290122e-05    7.33296305e-02
 5800.000000    6.04173565e-03    6.52589525e-05    7.33344159e-02
 5900.000000    6.04208179e-03    5.72900824e-05    7.33386172e-02
 6000.000000    6.04238570e-03    5.02992875e-05    7.33423061e-02
 6100.000000    6.04265252e-03    4.41584225e-05    7.33455448e-02
 6200.000000    6.04288679e-03    3.87700723e-05    7.33483884e-02
 6300.000000    6.04309248e-03    3.40375028e-05    7.33508850e-02
 6400.000000    6.04327307e-03    2.98841857e-05    7.33530770e-02
 6500.000000    6.04343163e-03    2.62367219e-05    7.33550016e-02
 6600.000000    6.04357084e-03    2.30353049e-05    7.33566913e-02
 6700.000000    6.04369307e-03    2.02240175e-05    7.33581749e-02
 6800.000000    6.04380038e-03    1.77562987e-05    7.33594775e-02
 6900.000000    6.04389460e-03    1.55894181e-05    7.33606211e-02
 7000.000000    6.04397732e-03    1.36872276e-05    7.33616252e-02
 7100.000000    6.04404995e-03    1.20169967e-05    7.33625068e-02
 7200.000000    6.04411372e-03    1.05507189e-05    7.33632808e-02
 7300.000000    6.04416971e-03    9.26327876e-06    7.33639604e-02
