        Time                 U                 r                K
  100.000000    3.76867256e-04               inf    6.15003212e-02
  200.000000    4.31739950e-04    1.45602180e-01    7.04549021e-02
  300.000000    4.40761854e-04    2.08966144e-02    7.19271710e-02
  400.000000    4.42267171e-04    3.41526193e-03    7.21728211e-02
  500.000000    4.42518464e-04    5.68193924e-04    7.22138293e-02
  600.000000    4.42560375e-04    9.47094725e-05    7.22206686e-02
  700.000000    4.42567364e-04    1.57921737e-05    7.22218091e-02
  800.000000    4.42568529e-04    2.63362214e-06    7.22219993e-02
