        Time                 U                 r                K
  100.000000    7.80028026e-04               inf    2.33800597e-02
  200.000000    1.26699932e-03    6.24299736e-01    3.79762247e-02
  300.000000    1.59500757e-03    2.58885894e-01    4.78077336e-02
  400.000000    1.82117381e-03    1.41796341e-01    5.45866953e-02
  500.000000    1.98271541e-03    8.87019150e-02    5.94286397e-02
  600.000000    2.10009024e-03    5.91990326e-02    6.29467577e-02
  700.000000    2.18482913e-03    4.03501184e-02    6.54866668e-02
  800.000000    2.24554073e-03    2.77878016e-02    6.73063974e-02
  900.000000    2.28916497e-03    1.94270513e-02    6.86139622e-02
 1000.000000    2.32070870e-03    1.37795811e-02    6.95594338e-02
 1100.000000    2.34354311e-03    9.83941235e-03    7.02438578e-02
 1200.000000    2.36002859e-03    7.03442623e-03    7.07379830e-02
 1300.000000    2.37191457e-03    5.03637083e-03    7.10942457e-02
 1400.000000    2.38049399e-03    3.61708397e-03    7.13513996e-02
 1500.000000    2.38669403e-03    2.60452036e-03    7.15372358e-02
 1600.000000    2.39117383e-03    1.87698815e-03    7.16715103e-02
 1700.000000    2.39440847e-03    1.35274115e-03    7.17684633e-02
 1800.000000    2.39674374e-03    9.75304042e-04    7.18384594e-02
 1900.000000    2.39843028e-03    7.03680339e-04    7.18890107e-02
 2000.000000    2.39964854e-03    5.07938362e-04    7.19255259e-02
 2100.000000    2.40052843e-03    3.66674762e-04    7.19518992e-02
 2200.000000    2.40116384e-03    2.64698056e-04    7.19709447e-02
 2300.000000    2.40162272e-03    1.91104840e-04    7.19846987e-02
 2400.000000    2.40195413e-03    1.37994204e-04    7.19946322e-02
 2500.000000    2.40219349e-03    9.96510428e-05    7.20018065e-02
 2600.000000    2.40236635e-03    7.19619255e-05    7.20069879e-02
 2700.000000    2.40249120e-03    5.19667128e-05    7.20107299e-02
 2800.000000    2.40258136e-03    3.75285665e-05    7.20134323e-02
 2900.000000    2.40264647e-03    2.71027045e-05    7.20153841e-02
 3000.000000    2.40269350e-03    1.95734508e-05    7.20167937e-02
 3100.000000    2.40272747e-03    1.41358236e-05    7.20178117e-02
 3200.000000    2.40275200e-03    1.02088294e-05    7.20185469e-02
 3300.000000    2.40276971e-03    7.37283334e-06    7.20190779e-02
