        Time                 U                 r                K
  100.000000    3.90335657e-04               inf    6.36982065e-02
  200.000000    4.46916668e-04    1.44954759e-01    7.29315646e-02
  300.000000    4.56343832e-04    2.10937841e-02    7.44699673e-02
  400.000000    4.57936709e-04    3.49051881e-03    7.47299061e-02
  500.000000    4.58206055e-04    5.88174617e-04    7.47738604e-02
  600.000000    4.58251561e-04    9.93129518e-05    7.47812864e-02
  700.000000    4.58259248e-04    1.67747563e-05    7.47825408e-02
  800.000000    4.58260547e-04    2.83400878e-06    7.47827528e-02
