        Time                 U                 r                K
  100.000000    6.40980347e-04               inf    3.76561741e-02
  200.000000    9.22196466e-04    4.38728147e-01    5.41769975e-02
  300.000000    1.06495744e-03    1.54805376e-01    6.25638880e-02
  400.000000    1.13939475e-03    6.98969811e-02    6.69369149e-02
  500.000000    1.17852874e-03    3.43462994e-02    6.92359502e-02
  600.000000    1.19915081e-03    1.74981511e-02    7.04474513e-02
  700.000000    1.21002097e-03    9.06488209e-03    7.10860492e-02
  800.000000    1.21574917e-03    4.73396421e-03    7.14225680e-02
  900.000000    1.21876682e-03    2.48213241e-03    7.15998483e-02
 1000.000000    1.22035626e-03    1.30413514e-03    7.16932241e-02
 1100.000000    1.22119338e-03    6.85967280e-04    7.17424033e-02
 1200.000000    1.22163428e-03    3.61037787e-04    7.17683051e-02
 1300.000000    1.22186650e-03    1.90087246e-04    7.17819473e-02
 1400.000000    1.22198881e-03    1.00100780e-04    7.17891327e-02
 1500.000000    1.22205323e-03    5.27190376e-05    7.17929174e-02
 1600.000000    1.22208716e-03    2.77664955e-05    7.17949108e-02
 1700.000000    1.22210503e-03    1.46246769e-05    7.17959608e-02
 1800.000000    1.22211445e-03    7.70294778e-06    7.17965138e-02
