        Time                 U                 r                K
  100.000000    4.23641150e-07               inf    2.28361142e-03
  200.000000    5.19931889e-07    2.27293170e-01    2.80266070e-03
  300.000000    5.52433498e-07    6.25112804e-02    2.97785861e-03
  400.000000    5.61665008e-07    1.67106277e-02    3.02762049e-03
  500.000000    5.65339997e-07    6.54302654e-03    3.04743029e-03
  600.000000    5.67913744e-07    4.55256541e-03    3.06130392e-03
  700.000000    5.69504481e-07    2.80101785e-03    3.06987869e-03
  800.000000    5.70430574e-07    1.62613764e-03    3.07487073e-03
  900.000000    5.70979945e-07    9.63081604e-04    3.07783208e-03
 1000.000000    5.71235032e-07    4.46753181e-04    3.07920711e-03
 1100.000000    5.71353211e-07    2.06884143e-04    3.07984415e-03
 1200.000000    5.71421599e-07    1.19694524e-04    3.08021279e-03
 1300.000000    5.71462454e-07    7.14973784e-05    3.08043302e-03
 1400.000000    5.71487178e-07    4.32633757e-05    3.08056629e-03
 1500.000000    5.71502864e-07    2.74482915e-05    3.08065085e-03
 1600.000000    5.71512472e-07    1.68110999e-05    3.08070264e-03
 1700.000000    5.71517929e-07    9.54820416e-06    3.08073205e-03
