        Time                 U                 r                K
  100.000000    2.45873022e-08               inf    5.89050379e-03
  200.000000    2.41957605e-08    1.59245503e-02    5.79670016e-03
  300.000000    2.41074364e-08    3.65039586e-03    5.77553991e-03
  400.000000    2.40835288e-08    9.91709975e-04    5.76981225e-03
  500.000000    2.40761358e-08    3.06974291e-04    5.76804107e-03
  600.000000    2.40736150e-08    1.04701777e-04    5.76743714e-03
  700.000000    2.40726911e-08    3.83746058e-05    5.76721582e-03
  800.000000    2.40723323e-08    1.49075548e-05    5.76712984e-03
  900.000000    2.40721852e-08    6.10850133e-06    5.76709462e-03
