        Time                 U                 r                K
  100.000000    5.55811502e-08               inf    4.79370772e-03
  200.000000    5.43626463e-08    2.19229713e-02    4.68861540e-03
  300.000000    5.40969678e-08    4.88715033e-03    4.66570144e-03
  400.000000    5.40259064e-08    1.31359418e-03    4.65957260e-03
  500.000000    5.40039112e-08    4.07122666e-04    4.65767558e-03
  600.000000    5.39963299e-08    1.40383683e-04    4.65702172e-03
  700.000000    5.39934879e-08    5.26335354e-05    4.65677660e-03
  800.000000    5.39923446e-08    2.11755456e-05    4.65667799e-03
  900.000000    5.39918547e-08    9.07378694e-06    4.65663574e-03
