        Time                 U                 r                K
  100.000000    2.52145460e-07               inf    3.21698128e-03
  200.000000    2.66150482e-07    5.55434226e-02    3.39566343e-03
  300.000000    2.64749620e-07    5.26342192e-03    3.37779062e-03
  400.000000    2.63608625e-07    4.30971389e-03    3.36323331e-03
  500.000000    2.63295890e-07    1.18635972e-03    3.35924330e-03
  600.000000    2.63262145e-07    1.28165765e-04    3.35881276e-03
  700.000000    2.63268103e-07    2.26311654e-05    3.35888878e-03
  800.000000    2.63267333e-07    2.92156467e-06    3.35887896e-03
