        Time                 U                 r                K
  100.000000    1.05883935e-07               inf    4.65927227e-03
  200.000000    1.03441436e-07    2.30677009e-02    4.55179357e-03
  300.000000    1.02831044e-07    5.90084645e-03    4.52493413e-03
  400.000000    1.02718215e-07    1.09722379e-03    4.51996927e-03
  500.000000    1.02690221e-07    2.72532851e-04    4.51873743e-03
  600.000000    1.02681206e-07    8.77857808e-05    4.51834075e-03
  700.000000    1.02677978e-07    3.14383220e-05    4.51819870e-03
  800.000000    1.02676736e-07    1.21000383e-05    4.51814403e-03
  900.000000    1.02676224e-07    4.98337574e-06    4.51812151e-03
