        Time                 U                 r                K
  100.000000    6.29864546e-08               inf    5.43239304e-03
  200.000000    6.18218576e-08    1.84896429e-02    5.33195004e-03
  300.000000    6.15985944e-08    3.61139568e-03    5.31269425e-03
  400.000000    6.15459332e-08    8.54909227e-04    5.30815238e-03
  500.000000    6.15313887e-08    2.36319138e-04    5.30689797e-03
  600.000000    6.15269052e-08    7.28651554e-05    5.30651128e-03
  700.000000    6.15254023e-08    2.44265590e-05    5.30638166e-03
  800.000000    6.15248614e-08    8.79138233e-06    5.30633501e-03
