        Time                 U                 r                K
  100.000000    1.92421204e-07               inf    3.42887465e-03
  200.000000    1.95527743e-07    1.61444764e-02    3.48423203e-03
  300.000000    1.92891623e-07    1.34820806e-02    3.43725734e-03
  400.000000    1.91997686e-07    4.63439747e-03    3.42132772e-03
  500.000000    1.91789922e-07    1.08212028e-03    3.41762543e-03
  600.000000    1.91763605e-07    1.37213543e-04    3.41715649e-03
  700.000000    1.91757541e-07    3.16238086e-05    3.41704842e-03
  800.000000    1.91753241e-07    2.24235080e-05    3.41697180e-03
  900.000000    1.91750336e-07    1.51520441e-05    3.41692003e-03
 1000.000000    1.91748720e-07    8.42789730e-06    3.41689123e-03
