        Time                 U                 r                K
  100.000000    2.06634319e-07               inf    3.68214710e-03
  200.000000    2.10422790e-07    1.83341826e-02    3.74965626e-03
  300.000000    2.08027920e-07    1.13812335e-02    3.70698054e-03
  400.000000    2.07292630e-07    3.53456930e-03    3.69387796e-03
  500.000000    2.07146175e-07    7.06514667e-04    3.69126819e-03
  600.000000    2.07134856e-07    5.46438482e-05    3.69106648e-03
  700.000000    2.07132356e-07    1.20674194e-05    3.69102194e-03
  800.000000    2.07129783e-07    1.24218251e-05    3.69097609e-03
  900.000000    2.07128060e-07    8.32137932e-06    3.69094538e-03
