        Time                 U                 r                K
  100.000000    9.51969565e-08               inf    4.18900696e-03
  200.000000    9.26610891e-08    2.66381144e-02    4.07741971e-03
  300.000000    9.19572940e-08    7.59536843e-03    4.04645021e-03
  400.000000    9.18035055e-08    1.67239028e-03    4.03968296e-03
  500.000000    9.17606217e-08    4.67125873e-04    4.03779592e-03
  600.000000    9.17456777e-08    1.62858654e-04    4.03713833e-03
  700.000000    9.17398796e-08    6.31974459e-05    4.03688320e-03
  800.000000    9.17374652e-08    2.63185829e-05    4.03677695e-03
  900.000000    9.17363957e-08    1.16574667e-05    4.03672989e-03
 1000.000000    9.17358951e-08    5.45774937e-06    4.03670786e-03
