        Time                 U                 r                K
  100.000000    2.48692074e-07               inf    3.17292147e-03
  200.000000    2.62342574e-07    5.48891649e-02    3.34708048e-03
  300.000000    2.60826976e-07    5.77717038e-03    3.32774383e-03
  400.000000    2.59596665e-07    4.71696358e-03    3.31204698e-03
  500.000000    2.59248048e-07    1.34291726e-03    3.30759917e-03
  600.000000    2.59205093e-07    1.65692189e-04    3.30705113e-03
  700.000000    2.59210908e-07    2.24344237e-05    3.30712532e-03
  800.000000    2.59210505e-07    1.55315598e-06    3.30712019e-03
