        Time                 U                 r                K
  100.000000    5.28006379e-08               inf    4.55389686e-03
  200.000000    5.15762152e-08    2.31895426e-02    4.44829407e-03
  300.000000    5.12947428e-08    5.45740728e-03    4.42401792e-03
  400.000000    5.12163027e-08    1.52920265e-03    4.41725270e-03
  500.000000    5.11911403e-08    4.91297895e-04    4.41508251e-03
  600.000000    5.11822114e-08    1.74422137e-04    4.41431242e-03
  700.000000    5.11788084e-08    6.64890572e-05    4.41401892e-03
  800.000000    5.11774457e-08    2.66248759e-05    4.41390140e-03
  900.000000    5.11768840e-08    1.09770023e-05    4.41385295e-03
 1000.000000    5.11766520e-08    4.53302163e-06    4.41383294e-03
