        Time                 U                 r                K
  100.000000    2.60807560e-07               inf    3.32749611e-03
  200.000000    2.75740833e-07    5.72578211e-02    3.51802129e-03
  300.000000    2.74554673e-07    4.30171944e-03    3.50288775e-03
  400.000000    2.73549593e-07    3.66076692e-03    3.49006449e-03
  500.000000    2.73293663e-07    9.35587443e-04    3.48679923e-03
  600.000000    2.73278546e-07    5.53128323e-05    3.48660637e-03
  700.000000    2.73287116e-07    3.13601273e-05    3.48671571e-03
  800.000000    2.73286496e-07    2.26937610e-06    3.48670779e-03
