        Time             u_ref                 u                r
 1000.000000    1.00093429e-02    9.88839659e-03    6.30709900e-01
 2000.000000    1.00093429e-02    9.94114288e-03    4.30765267e-01
 3000.000000    1.00093429e-02    9.96676744e-03    2.87570557e-01
 4000.000000    1.00093429e-02    9.98222446e-03    1.90459626e-01
 5000.000000    1.00093429e-02    9.99215785e-03    1.25849281e-01
 6000.000000    1.00093429e-02    9.99866424e-03    8.31003117e-02
 7000.000000    1.00093429e-02    1.00029498e-02    5.48607852e-02
 8000.000000    1.00093429e-02    1.00057771e-02    3.62145852e-02
 9000.000000    1.00093429e-02    1.00076433e-02    2.39043581e-02
 10000.000000    1.00093429e-02    1.00088752e-02    1.57774503e-02
 11000.000000    1.00093429e-02    1.00096884e-02    1.04137337e-02
 12000.000000    1.00093429e-02    1.00102253e-02    6.87404961e-03
 13000.000000    1.00093429e-02    1.00105797e-02    4.53727253e-03
 14000.000000    1.00093429e-02    1.00108137e-02    2.99461348e-03
 15000.000000    1.00093429e-02    1.00109682e-02    1.97773752e-03
 16000.000000    1.00093429e-02    1.00110701e-02    1.30768954e-03
 17000.000000    1.00093429e-02    1.00111374e-02    8.68020475e-04
 18000.000000    1.00093429e-02    1.00111819e-02    5.80972629e-04
 19000.000000    1.00093429e-02    1.00112112e-02    3.95735082e-04
 20000.000000    1.00093429e-02    1.00112306e-02    2.79203589e-04
 21000.000000    1.00093429e-02    1.00112434e-02    2.09335742e-04
 22000.000000    1.00093429e-02    1.00112518e-02    1.71424890e-04
 23000.000000    1.00093429e-02    1.00112574e-02    1.54784021e-04
 24000.000000    1.00093429e-02    1.00112611e-02    1.50610739e-04
 25000.000000    1.00093429e-02    1.00112635e-02    1.51634270e-04
 26000.000000    1.00093429e-02    1.00112651e-02    1.53891288e-04
 27000.000000    1.00093429e-02    1.00112662e-02    1.55965879e-04
 28000.000000    1.00093429e-02    1.00112669e-02    1.57580107e-04
 29000.000000    1.00093429e-02    1.00112673e-02    1.58711993e-04
 30000.000000    1.00093429e-02    1.00112676e-02    1.59479317e-04
 31000.000000    1.00093429e-02    1.00112678e-02    1.60049175e-04
 32000.000000    1.00093429e-02    1.00112680e-02    1.60425376e-04
 33000.000000    1.00093429e-02    1.00112680e-02    1.60673731e-04
 34000.000000    1.00093429e-02    1.00112681e-02    1.60837686e-04
 35000.000000    1.00093429e-02    1.00112681e-02    1.60945923e-04
 36000.000000    1.00093429e-02    1.00112682e-02    1.61017378e-04
 37000.000000    1.00093429e-02    1.00112682e-02    1.61064549e-04
 38000.000000    1.00093429e-02    1.00112682e-02    1.61095691e-04
 39000.000000    1.00093429e-02    1.00112682e-02    1.61116249e-04
 40000.000000    1.00093429e-02    1.00112682e-02    1.61129821e-04
 41000.000000    1.00093429e-02    1.00112682e-02    1.61138781e-04
 42000.000000    1.00093429e-02    1.00112682e-02    1.61144695e-04
 43000.000000    1.00093429e-02    1.00112682e-02    1.61148600e-04
 44000.000000    1.00093429e-02    1.00112682e-02    1.61151178e-04
 45000.000000    1.00093429e-02    1.00112682e-02    1.61152880e-04
 46000.000000    1.00093429e-02    1.00112682e-02    1.61154003e-04
 47000.000000    1.00093429e-02    1.00112682e-02    1.61154745e-04
 48000.000000    1.00093429e-02    1.00112682e-02    1.61155235e-04
 49000.000000    1.00093429e-02    1.00112682e-02    1.61155558e-04
 50000.000000    1.00093429e-02    1.00112682e-02    1.61155771e-04
 51000.000000    1.00093429e-02    1.00112682e-02    1.61155912e-04
 52000.000000    1.00093429e-02    1.00112682e-02    1.61156005e-04
 53000.000000    1.00093429e-02    1.00112682e-02    1.61156066e-04
 54000.000000    1.00093429e-02    1.00112682e-02    1.61156107e-04
 55000.000000    1.00093429e-02    1.00112682e-02    1.61156134e-04
 56000.000000    1.00093429e-02    1.00112682e-02    1.61156151e-04
 57000.000000    1.00093429e-02    1.00112682e-02    1.61156163e-04
 58000.000000    1.00093429e-02    1.00112682e-02    1.61156171e-04
 59000.000000    1.00093429e-02    1.00112682e-02    1.61156176e-04
 60000.000000    1.00093429e-02    1.00112682e-02    1.61156179e-04
 61000.000000    1.00093429e-02    1.00112682e-02    1.61156181e-04
