        Time             u_ref                 u                r
 1000.000000    9.98509295e-03    9.91383981e-03    5.07797231e-01
 2000.000000    9.98509295e-03    9.95324901e-03    2.60916662e-01
 3000.000000    9.98509295e-03    9.97020353e-03    1.31020099e-01
 4000.000000    9.98509295e-03    9.97852136e-03    6.56032676e-02
 5000.000000    9.98509295e-03    9.98267350e-03    3.28401626e-02
 6000.000000    9.98509295e-03    9.98475075e-03    1.64425159e-02
 7000.000000    9.98509295e-03    9.98579025e-03    8.23919489e-03
 8000.000000    9.98509295e-03    9.98631046e-03    4.13460268e-03
 9000.000000    9.98509295e-03    9.98657079e-03    2.08209795e-03
 10000.000000    9.98509295e-03    9.98670107e-03    1.05878363e-03
 11000.000000    9.98509295e-03    9.98676627e-03    5.53890529e-04
 12000.000000    9.98509295e-03    9.98679890e-03    3.12743343e-04
 13000.000000    9.98509295e-03    9.98681523e-03    2.09168940e-04
 14000.000000    9.98509295e-03    9.98682340e-03    1.77145541e-04
 15000.000000    9.98509295e-03    9.98682749e-03    1.74204231e-04
 16000.000000    9.98509295e-03    9.98682953e-03    1.76765392e-04
 17000.000000    9.98509295e-03    9.98683056e-03    1.78876978e-04
 18000.000000    9.98509295e-03    9.98683107e-03    1.80114514e-04
 19000.000000    9.98509295e-03    9.98683133e-03    1.80802211e-04
 20000.000000    9.98509295e-03    9.98683145e-03    1.81146363e-04
 21000.000000    9.98509295e-03    9.98683152e-03    1.81318591e-04
 22000.000000    9.98509295e-03    9.98683155e-03    1.81404781e-04
 23000.000000    9.98509295e-03    9.98683157e-03    1.81447915e-04
 24000.000000    9.98509295e-03    9.98683158e-03    1.81469500e-04
 25000.000000    9.98509295e-03    9.98683158e-03    1.81480303e-04
 26000.000000    9.98509295e-03    9.98683158e-03    1.81485709e-04
 27000.000000    9.98509295e-03    9.98683158e-03    1.81488414e-04
 28000.000000    9.98509295e-03    9.98683158e-03    1.81489768e-04
 29000.000000    9.98509295e-03    9.98683158e-03    1.81490445e-04
 30000.000000    9.98509295e-03    9.98683158e-03    1.81490785e-04
 31000.000000    9.98509295e-03    9.98683158e-03    1.81490954e-04
 32000.000000    9.98509295e-03    9.98683158e-03    1.81491039e-04
 33000.000000    9.98509295e-03    9.98683158e-03    1.81491082e-04
 34000.000000    9.98509295e-03    9.98683158e-03    1.81491103e-04
 35000.000000    9.98509295e-03    9.98683158e-03    1.81491114e-04
 36000.000000    9.98509295e-03    9.98683158e-03    1.81491119e-04
 37000.000000    9.98509295e-03    9.98683158e-03    1.81491122e-04
 38000.000000    9.98509295e-03    9.98683158e-03    1.81491123e-04
 39000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 40000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 41000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 42000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 43000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 44000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 45000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 46000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 47000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 48000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 49000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 50000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 51000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 52000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 53000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 54000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 55000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 56000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 57000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 58000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 59000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 60000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
 61000.000000    9.98509295e-03    9.98683158e-03    1.81491124e-04
