        Time             u_ref                 u                r
 1000.000000    9.96892628e-03    9.93530854e-03    3.11021241e-01
 2000.000000    9.96892628e-03    9.96046685e-03    9.00215574e-02
 3000.000000    9.96892628e-03    9.96750056e-03    2.59141049e-02
 4000.000000    9.96892628e-03    9.96952042e-03    7.49099278e-03
 5000.000000    9.96892628e-03    9.97010082e-03    2.19952413e-03
 6000.000000    9.96892628e-03    9.97026759e-03    6.87588490e-04
 7000.000000    9.96892628e-03    9.97031551e-03    2.75494624e-04
 8000.000000    9.96892628e-03    9.97032928e-03    1.94865048e-04
 9000.000000    9.96892628e-03    9.97033324e-03    1.91483550e-04
 10000.000000    9.96892628e-03    9.97033438e-03    1.92822279e-04
 11000.000000    9.96892628e-03    9.97033470e-03    1.93384189e-04
 12000.000000    9.96892628e-03    9.97033480e-03    1.93545656e-04
 13000.000000    9.96892628e-03    9.97033482e-03    1.93592054e-04
 14000.000000    9.96892628e-03    9.97033483e-03    1.93605387e-04
 15000.000000    9.96892628e-03    9.97033483e-03    1.93609218e-04
 16000.000000    9.96892628e-03    9.97033483e-03    1.93610319e-04
 17000.000000    9.96892628e-03    9.97033483e-03    1.93610635e-04
 18000.000000    9.96892628e-03    9.97033483e-03    1.93610726e-04
 19000.000000    9.96892628e-03    9.97033483e-03    1.93610752e-04
 20000.000000    9.96892628e-03    9.97033483e-03    1.93610760e-04
 21000.000000    9.96892628e-03    9.97033483e-03    1.93610762e-04
 22000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 23000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 24000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 25000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 26000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 27000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 28000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 29000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 30000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 31000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 32000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 33000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 34000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 35000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 36000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 37000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 38000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 39000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 40000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 41000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 42000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 43000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 44000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 45000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 46000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 47000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 48000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 49000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 50000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 51000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 52000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 53000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 54000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 55000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 56000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 57000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 58000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 59000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 60000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 61000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 62000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 63000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 64000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 65000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 66000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 67000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 68000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 69000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 70000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 71000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 72000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 73000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 74000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 75000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 76000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 77000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 78000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 79000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 80000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 81000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 82000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 83000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 84000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 85000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 86000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 87000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 88000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 89000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 90000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 91000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 92000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 93000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 94000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 95000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 96000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 97000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 98000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
 99000.000000    9.96892628e-03    9.97033483e-03    1.93610763e-04
