        Time             u_ref                 u                r
 1000.000000    9.97470009e-03    9.92563957e-03    4.00121730e-01
 2000.000000    9.97470009e-03    9.95692265e-03    1.54004017e-01
 3000.000000    9.97470009e-03    9.96804013e-03    5.85524514e-02
 4000.000000    9.97470009e-03    9.97224614e-03    2.23056789e-02
 5000.000000    9.97470009e-03    9.97384563e-03    8.55671277e-03
 6000.000000    9.97470009e-03    9.97445677e-03    3.34155998e-03
 7000.000000    9.97470009e-03    9.97469304e-03    1.36311676e-03
 8000.000000    9.97470009e-03    9.97478712e-03    6.12643808e-04
 9000.000000    9.97470009e-03    9.97482727e-03    3.27721596e-04
 10000.000000    9.97470009e-03    9.97484698e-03    2.19775864e-04
 11000.000000    9.97470009e-03    9.97485893e-03    1.79252935e-04
 12000.000000    9.97470009e-03    9.97486794e-03    1.64267659e-04
 13000.000000    9.97470009e-03    9.97487584e-03    1.58670373e-04
 14000.000000    9.97470009e-03    9.97488332e-03    1.56436979e-04
 15000.000000    9.97470009e-03    9.97489063e-03    1.55433682e-04
 16000.000000    9.97470009e-03    9.97489789e-03    1.54878579e-04
 17000.000000    9.97470009e-03    9.97490512e-03    1.54502819e-04
 18000.000000    9.97470009e-03    9.97491234e-03    1.54194431e-04
 19000.000000    9.97470009e-03    9.97491956e-03    1.53930397e-04
 20000.000000    9.97470009e-03    9.97492677e-03    1.53674547e-04
 21000.000000    9.97470009e-03    9.97493399e-03    1.53445014e-04
 22000.000000    9.97470009e-03    9.97494121e-03    1.53223003e-04
 23000.000000    9.97470009e-03    9.97494842e-03    1.53005843e-04
 24000.000000    9.97470009e-03    9.97495564e-03    1.52813953e-04
 25000.000000    9.97470009e-03    9.97496286e-03    1.52622121e-04
 26000.000000    9.97470009e-03    9.97497007e-03    1.52441497e-04
 27000.000000    9.97470009e-03    9.97497729e-03    1.52279223e-04
 28000.000000    9.97470009e-03    9.97498451e-03    1.52116952e-04
 29000.000000    9.97470009e-03    9.97499172e-03    1.51968264e-04
 30000.000000    9.97470009e-03    9.97499894e-03    1.51835522e-04
 31000.000000    9.97470009e-03    9.97500615e-03    1.51702779e-04
 32000.000000    9.97470009e-03    9.97501337e-03    1.51581144e-04
 33000.000000    9.97470009e-03    9.97502059e-03    1.51477929e-04
 34000.000000    9.97470009e-03    9.97502780e-03    1.51374714e-04
 35000.000000    9.97470009e-03    9.97503502e-03    1.51274711e-04
 36000.000000    9.97470009e-03    9.97504224e-03    1.51201023e-04
 37000.000000    9.97470009e-03    9.97504945e-03    1.51127334e-04
 38000.000000    9.97470009e-03    9.97505667e-03    1.51053646e-04
 39000.000000    9.97470009e-03    9.97506389e-03    1.50998713e-04
 40000.000000    9.97470009e-03    9.97507110e-03    1.50954552e-04
 41000.000000    9.97470009e-03    9.97507832e-03    1.50910391e-04
