        Time             u_ref                 u                r
 1000.000000    9.98509295e-03    9.91251590e-03    5.07492990e-01
 2000.000000    9.98509295e-03    9.95189759e-03    2.60789963e-01
 3000.000000    9.98509295e-03    9.96885544e-03    1.31006408e-01
 4000.000000    9.98509295e-03    9.97718002e-03    6.56466957e-02
 5000.000000    9.98509295e-03    9.98133953e-03    3.29115230e-02
 6000.000000    9.98509295e-03    9.98342420e-03    1.65273040e-02
 7000.000000    9.98509295e-03    9.98447109e-03    8.32739224e-03
 8000.000000    9.98509295e-03    9.98499866e-03    4.22339162e-03
 9000.000000    9.98509295e-03    9.98526636e-03    2.16989348e-03
 10000.000000    9.98509295e-03    9.98540402e-03    1.14206294e-03
 11000.000000    9.98509295e-03    9.98547662e-03    6.27763771e-04
 12000.000000    9.98509295e-03    9.98551665e-03    3.71039567e-04
 13000.000000    9.98509295e-03    9.98554040e-03    2.44067548e-04
 14000.000000    9.98509295e-03    9.98555599e-03    1.82860539e-04
 15000.000000    9.98509295e-03    9.98556749e-03    1.55133143e-04
 16000.000000    9.98509295e-03    9.98557696e-03    1.43683875e-04
 17000.000000    9.98509295e-03    9.98558541e-03    1.39236650e-04
 18000.000000    9.98509295e-03    9.98559334e-03    1.37479046e-04
 19000.000000    9.98509295e-03    9.98560101e-03    1.36768246e-04
 20000.000000    9.98509295e-03    9.98560856e-03    1.36484984e-04
 21000.000000    9.98509295e-03    9.98561604e-03    1.36400250e-04
 22000.000000    9.98509295e-03    9.98562350e-03    1.36406462e-04
 23000.000000    9.98509295e-03    9.98563093e-03    1.36447506e-04
 24000.000000    9.98509295e-03    9.98563836e-03    1.36514827e-04
 25000.000000    9.98509295e-03    9.98564578e-03    1.36613974e-04
 26000.000000    9.98509295e-03    9.98565320e-03    1.36716676e-04
 27000.000000    9.98509295e-03    9.98566062e-03    1.36821156e-04
 28000.000000    9.98509295e-03    9.98566804e-03    1.36926527e-04
 29000.000000    9.98509295e-03    9.98567546e-03    1.37046294e-04
 30000.000000    9.98509295e-03    9.98568288e-03    1.37182711e-04
 31000.000000    9.98509295e-03    9.98569030e-03    1.37319213e-04
 32000.000000    9.98509295e-03    9.98569772e-03    1.37455759e-04
 33000.000000    9.98509295e-03    9.98570514e-03    1.37592325e-04
 34000.000000    9.98509295e-03    9.98571256e-03    1.37731850e-04
 35000.000000    9.98509295e-03    9.98571998e-03    1.37898760e-04
 36000.000000    9.98509295e-03    9.98572740e-03    1.38065672e-04
 37000.000000    9.98509295e-03    9.98573482e-03    1.38232586e-04
 38000.000000    9.98509295e-03    9.98574224e-03    1.38399500e-04
 39000.000000    9.98509295e-03    9.98574966e-03    1.38566415e-04
 40000.000000    9.98509295e-03    9.98575708e-03    1.38740234e-04
 41000.000000    9.98509295e-03    9.98576450e-03    1.38937474e-04
 42000.000000    9.98509295e-03    9.98577192e-03    1.39134715e-04
 43000.000000    9.98509295e-03    9.98577934e-03    1.39331956e-04
 44000.000000    9.98509295e-03    9.98578676e-03    1.39529198e-04
 45000.000000    9.98509295e-03    9.98579418e-03    1.39726440e-04
 46000.000000    9.98509295e-03    9.98580160e-03    1.39923682e-04
 47000.000000    9.98509295e-03    9.98580902e-03    1.40144139e-04
 48000.000000    9.98509295e-03    9.98581644e-03    1.40371707e-04
 49000.000000    9.98509295e-03    9.98582386e-03    1.40599275e-04
 50000.000000    9.98509295e-03    9.98583128e-03    1.40826844e-04
 51000.000000    9.98509295e-03    9.98583870e-03    1.41054413e-04
 52000.000000    9.98509295e-03    9.98584612e-03    1.41281982e-04
 53000.000000    9.98509295e-03    9.98585354e-03    1.41509552e-04
 54000.000000    9.98509295e-03    9.98586096e-03    1.41755324e-04
 55000.000000    9.98509295e-03    9.98586837e-03    1.42013219e-04
 56000.000000    9.98509295e-03    9.98587579e-03    1.42271115e-04
 57000.000000    9.98509295e-03    9.98588321e-03    1.42529012e-04
 58000.000000    9.98509295e-03    9.98589063e-03    1.42786909e-04
 59000.000000    9.98509295e-03    9.98589805e-03    1.43044806e-04
 60000.000000    9.98509295e-03    9.98590547e-03    1.43302704e-04
 61000.000000    9.98509295e-03    9.98591289e-03    1.43560602e-04
 62000.000000    9.98509295e-03    9.98592031e-03    1.43836470e-04
 63000.000000    9.98509295e-03    9.98592773e-03    1.44124694e-04
 64000.000000    9.98509295e-03    9.98593515e-03    1.44412919e-04
 65000.000000    9.98509295e-03    9.98594257e-03    1.44701145e-04
 66000.000000    9.98509295e-03    9.98594999e-03    1.44989370e-04
 67000.000000    9.98509295e-03    9.98595741e-03    1.45277596e-04
 68000.000000    9.98509295e-03    9.98596483e-03    1.45565823e-04
 69000.000000    9.98509295e-03    9.98597225e-03    1.45854050e-04
 70000.000000    9.98509295e-03    9.98597967e-03    1.46142277e-04
 71000.000000    9.98509295e-03    9.98598709e-03    1.46447645e-04
 72000.000000    9.98509295e-03    9.98599451e-03    1.46766199e-04
 73000.000000    9.98509295e-03    9.98600193e-03    1.47084754e-04
 74000.000000    9.98509295e-03    9.98600935e-03    1.47403309e-04
 75000.000000    9.98509295e-03    9.98601677e-03    1.47721864e-04
 76000.000000    9.98509295e-03    9.98602419e-03    1.48040420e-04
 77000.000000    9.98509295e-03    9.98603161e-03    1.48358976e-04
 78000.000000    9.98509295e-03    9.98603903e-03    1.48677533e-04
 79000.000000    9.98509295e-03    9.98604645e-03    1.48996091e-04
