        Time             u_ref                 u                r
 1000.000000    9.96525204e-03    9.94086264e-03    2.39331563e-01
 2000.000000    9.96525204e-03    9.96097158e-03    5.23066269e-02
 3000.000000    9.96525204e-03    9.96529841e-03    1.14451108e-02
 4000.000000    9.96525204e-03    9.96623995e-03    2.55608145e-03
 5000.000000    9.96525204e-03    9.96644485e-03    6.30628321e-04
 6000.000000    9.96525204e-03    9.96648943e-03    2.39934633e-04
 7000.000000    9.96525204e-03    9.96649914e-03    1.94146886e-04
 8000.000000    9.96525204e-03    9.96650125e-03    1.93784958e-04
 9000.000000    9.96525204e-03    9.96650171e-03    1.94226043e-04
 10000.000000    9.96525204e-03    9.96650181e-03    1.94339214e-04
 11000.000000    9.96525204e-03    9.96650183e-03    1.94363843e-04
 12000.000000    9.96525204e-03    9.96650183e-03    1.94369203e-04
 13000.000000    9.96525204e-03    9.96650183e-03    1.94370369e-04
 14000.000000    9.96525204e-03    9.96650183e-03    1.94370623e-04
 15000.000000    9.96525204e-03    9.96650183e-03    1.94370678e-04
 16000.000000    9.96525204e-03    9.96650183e-03    1.94370690e-04
 17000.000000    9.96525204e-03    9.96650183e-03    1.94370693e-04
 18000.000000    9.96525204e-03    9.96650183e-03    1.94370693e-04
 19000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 20000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 21000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 22000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 23000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 24000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 25000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 26000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 27000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 28000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 29000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 30000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
 31000.000000    9.96525204e-03    9.96650183e-03    1.94370694e-04
