        Time                 U                 r                K
  100.000000    9.48656449e-04               inf    1.15147651e-02
  200.000000    1.65419727e-03    7.43726372e-01    2.00785995e-02
  300.000000    2.25540391e-03    3.63443132e-01    2.73760286e-02
  400.000000    2.74686306e-03    2.17902945e-01    3.33413458e-02
  500.000000    3.17367063e-03    1.55379995e-01    3.85219240e-02
  600.000000    3.53530303e-03    1.13947678e-01    4.29114078e-02
  700.000000    3.85150668e-03    8.94417393e-02    4.67494787e-02
  800.000000    4.12442194e-03    7.08593504e-02    5.00621164e-02
  900.000000    4.36274767e-03    5.77840319e-02    5.29549073e-02
 1000.000000    4.57044324e-03    4.76065982e-02    5.54759103e-02
 1100.000000    4.75169858e-03    3.96581531e-02    5.76759825e-02
 1200.000000    4.91065065e-03    3.34516315e-02    5.96053382e-02
 1300.000000    5.04931344e-03    2.82371517e-02    6.12884232e-02
 1400.000000    5.17128134e-03    2.41553441e-02    6.27688661e-02
 1500.000000    5.27765695e-03    2.05704557e-02    6.40600503e-02
 1600.000000    5.37137156e-03    1.77568577e-02    6.51975555e-02
 1700.000000    5.45313602e-03    1.52222680e-02    6.61900102e-02
 1800.000000    5.52521608e-03    1.32180936e-02    6.70649159e-02
 1900.000000    5.58813747e-03    1.13880421e-02    6.78286540e-02
 2000.000000    5.64360774e-03    9.92643222e-03    6.85019505e-02
 2100.000000    5.69206094e-03    8.58550140e-03    6.90900741e-02
 2200.000000    5.73476577e-03    7.50252554e-03    6.96084242e-02
 2300.000000    5.77209430e-03    6.50916358e-03    7.00615168e-02
 2400.000000    5.80498077e-03    5.69749316e-03    7.04606918e-02
 2500.000000    5.83374601e-03    4.95526877e-03    7.08098435e-02
 2600.000000    5.85907630e-03    4.34202804e-03    7.11173018e-02
 2700.000000    5.88124589e-03    3.78380241e-03    7.13863956e-02
 2800.000000    5.90075904e-03    3.31786011e-03    7.16232457e-02
 2900.000000    5.91784667e-03    2.89583698e-03    7.18306549e-02
 3000.000000    5.93288025e-03    2.54037917e-03    7.20131320e-02
 3100.000000    5.94605134e-03    2.22001656e-03    7.21730024e-02
 3200.000000    5.95763467e-03    1.94807033e-03    7.23136005e-02
 3300.000000    5.96778703e-03    1.70409264e-03    7.24368295e-02
 3400.000000    5.97671253e-03    1.49561363e-03    7.25451671e-02
 3500.000000    5.98453802e-03    1.30933089e-03    7.26401527e-02
 3600.000000    5.99141590e-03    1.14927381e-03    7.27236361e-02
 3700.000000    5.99744778e-03    1.00675380e-03    7.27968509e-02
 3800.000000    6.00274799e-03    8.83743800e-04    7.28611847e-02
 3900.000000    6.00739730e-03    7.74530633e-04    7.29176179e-02
 4000.000000    6.01148186e-03    6.79921607e-04    7.29671962e-02
 4100.000000    6.01506546e-03    5.96125592e-04    7.30106938e-02
 4200.000000    6.01821326e-03    5.23320678e-04    7.30489018e-02
 4300.000000    6.02097540e-03    4.58962506e-04    7.30824285e-02
 4400.000000    6.02340134e-03    4.02914506e-04    7.31118744e-02
 4500.000000    6.02553029e-03    3.53446636e-04    7.31377156e-02
 4600.000000    6.02739993e-03    3.10286316e-04    7.31604092e-02
 4700.000000    6.02904083e-03    2.72240378e-04    7.31803264e-02
 4800.000000    6.03048175e-03    2.38997316e-04    7.31978163e-02
 4900.000000    6.03174648e-03    2.09722053e-04    7.32131675e-02
 5000.000000    6.03285700e-03    1.84113487e-04    7.32266471e-02
 5100.000000    6.03383178e-03    1.61578624e-04    7.32384789e-02
 5200.000000    6.03468768e-03    1.41848947e-04    7.32488677e-02
 5300.000000    6.03543898e-03    1.24497542e-04    7.32579870e-02
 5400.000000    6.03609863e-03    1.09295828e-04    7.32659938e-02
 5500.000000    6.03667769e-03    9.59325890e-05    7.32730224e-02
 5600.000000    6.03718609e-03    8.42188999e-05    7.32791934e-02
 5700.000000    6.03763239e-03    7.39253737e-05    7.32846106e-02
 5800.000000    6.03802423e-03    6.48989319e-05    7.32893667e-02
 5900.000000    6.03836821e-03    5.69689037e-05    7.32935419e-02
 6000.000000    6.03867020e-03    5.00129586e-05    7.32972075e-02
 6100.000000    6.03893532e-03    4.39031152e-05    7.33004255e-02
 6200.000000    6.03916808e-03    3.85425745e-05    7.33032507e-02
 6300.000000    6.03937241e-03    3.38347551e-05    7.33057309e-02
 6400.000000    6.03955180e-03    2.97036043e-05    7.33079083e-02
 6500.000000    6.03970929e-03    2.60758661e-05    7.33098199e-02
 6600.000000    6.03984755e-03    2.28920987e-05    7.33114981e-02
 6700.000000    6.03996893e-03    2.00965164e-05    7.33129714e-02
 6800.000000    6.04007549e-03    1.76428373e-05    7.33142649e-02
 6900.000000    6.04016904e-03    1.54884486e-05    7.33154004e-02
 7000.000000    6.04025117e-03    1.35974160e-05    7.33163973e-02
 7100.000000    6.04032328e-03    1.19371120e-05    7.33172725e-02
 7200.000000    6.04038658e-03    1.04796935e-05    7.33180408e-02
 7300.000000    6.04044215e-03    9.20013514e-06    7.33187154e-02
