        Time                 U                 r                K
  100.000000    8.86983113e-04               inf    1.60828059e-02
  200.000000    1.52815081e-03    7.22863479e-01    2.77084789e-02
  300.000000    1.99049666e-03    3.02552502e-01    3.60917485e-02
  400.000000    2.38398153e-03    1.97681753e-01    4.32264286e-02
  500.000000    2.68821579e-03    1.27616030e-01    4.87428138e-02
  600.000000    2.93516932e-03    9.18652168e-02    5.32205830e-02
  700.000000    3.14229305e-03    7.05661972e-02    5.69761572e-02
  800.000000    3.30599336e-03    5.20958103e-02    5.99443762e-02
  900.000000    3.44336724e-03    4.15529824e-02    6.24352438e-02
 1000.000000    3.55560429e-03    3.25951447e-02    6.44703296e-02
 1100.000000    3.64690815e-03    2.56788583e-02    6.61258541e-02
 1200.000000    3.72314252e-03    2.09038351e-02    6.75081381e-02
 1300.000000    3.78509933e-03    1.66409984e-02    6.86315409e-02
 1400.000000    3.83629558e-03    1.35257367e-02    6.95598330e-02
 1500.000000    3.87855521e-03    1.10157390e-02    7.03260860e-02
 1600.000000    3.91311484e-03    8.91043886e-03    7.09527223e-02
 1700.000000    3.94173407e-03    7.31366941e-03    7.14716470e-02
 1800.000000    3.96523015e-03    5.96084897e-03    7.18976787e-02
 1900.000000    3.98456442e-03    4.87594965e-03    7.22482482e-02
 2000.000000    4.00052537e-03    4.00569617e-03    7.25376527e-02
 2100.000000    4.01363130e-03    3.27605130e-03    7.27752898e-02
 2200.000000    4.02444069e-03    2.69316992e-03    7.29712860e-02
 2300.000000    4.03334066e-03    2.21148179e-03    7.31326607e-02
 2400.000000    4.04066225e-03    1.81526524e-03    7.32654159e-02
 2500.000000    4.04669886e-03    1.49396528e-03    7.33748719e-02
 2600.000000    4.05166546e-03    1.22732156e-03    7.34649264e-02
 2700.000000    4.05575618e-03    1.00963912e-03    7.35390995e-02
 2800.000000    4.05912588e-03    8.30843900e-04    7.36001990e-02
 2900.000000    4.06189923e-03    6.83237533e-04    7.36504854e-02
 3000.000000    4.06418402e-03    5.62493985e-04    7.36919134e-02
 3100.000000    4.06606517e-03    4.62861358e-04    7.37260225e-02
 3200.000000    4.06761412e-03    3.80944619e-04    7.37541080e-02
 3300.000000    4.06888993e-03    3.13651099e-04    7.37772411e-02
 3400.000000    4.06994031e-03    2.58148599e-04    7.37962866e-02
 3500.000000    4.07080537e-03    2.12547936e-04    7.38119718e-02
 3600.000000    4.07151773e-03    1.74993918e-04    7.38248885e-02
 3700.000000    4.07210430e-03    1.44065789e-04    7.38355241e-02
 3800.000000    4.07258737e-03    1.18629950e-04    7.38442832e-02
 3900.000000    4.07298515e-03    9.76717970e-05    7.38514957e-02
 4000.000000    4.07331271e-03    8.04234731e-05    7.38574351e-02
