        Time                 U                 r                K
  100.000000    9.55655918e-04               inf    1.15997244e-02
  200.000000    1.66461228e-03    7.41853165e-01    2.02050167e-02
  300.000000    2.26913773e-03    3.63162912e-01    2.75427294e-02
  400.000000    2.76325595e-03    2.17755940e-01    3.35403223e-02
  500.000000    3.19240728e-03    1.55306398e-01    3.87493489e-02
  600.000000    3.55624192e-03    1.13968742e-01    4.31655634e-02
  700.000000    3.87420613e-03    8.94101754e-02    4.70250040e-02
  800.000000    4.14893250e-03    7.09116566e-02    5.03596250e-02
  900.000000    4.38866000e-03    5.77805246e-02    5.32694305e-02
 1000.000000    4.59784688e-03    4.76653181e-02    5.58085349e-02
 1100.000000    4.78024584e-03    3.96705177e-02    5.80224884e-02
 1200.000000    4.94041456e-03    3.35063760e-02    5.99666117e-02
 1300.000000    5.08002339e-03    2.82585262e-02    6.16611797e-02
 1400.000000    5.20298326e-03    2.42045879e-02    6.31536632e-02
 1500.000000    5.31014560e-03    2.05963248e-02    6.44543965e-02
 1600.000000    5.40466548e-03    1.77998672e-02    6.56016762e-02
 1700.000000    5.48708245e-03    1.52492259e-02    6.66020510e-02
 1800.000000    5.55981490e-03    1.32552138e-02    6.74848754e-02
 1900.000000    5.62327629e-03    1.14142993e-02    6.82551680e-02
 2000.000000    5.67927455e-03    9.95829755e-03    6.89348733e-02
 2100.000000    5.72817272e-03    8.60993164e-03    6.95283978e-02
 2200.000000    5.77130419e-03    7.52970927e-03    7.00519265e-02
 2300.000000    5.80899778e-03    6.53120772e-03    7.05094501e-02
 2400.000000    5.84222868e-03    5.72059197e-03    7.09128059e-02
 2500.000000    5.87129225e-03    4.97473889e-03    7.12655786e-02
 2600.000000    5.89690032e-03    4.36157366e-03    7.15764087e-02
 2700.000000    5.91931276e-03    3.80071525e-03    7.18484502e-02
 2800.000000    5.93904969e-03    3.33432899e-03    7.20880166e-02
 2900.000000    5.95633436e-03    2.91034251e-03    7.22978174e-02
 3000.000000    5.97154803e-03    2.55419918e-03    7.24824805e-02
 3100.000000    5.98487850e-03    2.23233106e-03    7.26442853e-02
 3200.000000    5.99660658e-03    1.95961964e-03    7.27866405e-02
 3300.000000    6.00688753e-03    1.71445975e-03    7.29114303e-02
 3400.000000    6.01592925e-03    1.50522663e-03    7.30211785e-02
 3500.000000    6.02385824e-03    1.31799803e-03    7.31174203e-02
 3600.000000    6.03082931e-03    1.15724419e-03    7.32020350e-02
 3700.000000    6.03694431e-03    1.01395705e-03    7.32762587e-02
 3800.000000    6.04231917e-03    8.90327757e-04    7.33414986e-02
 3900.000000    6.04703512e-03    7.80486928e-04    7.33987407e-02
 4000.000000    6.05117940e-03    6.85341249e-04    7.34490439e-02
 4100.000000    6.05481634e-03    6.01029116e-04    7.34931889e-02
 4200.000000    6.05801187e-03    5.27767192e-04    7.35319762e-02
 4300.000000    6.06081663e-03    4.62983703e-04    7.35660203e-02
 4400.000000    6.06328067e-03    4.06551367e-04    7.35959286e-02
 4500.000000    6.06544364e-03    3.56732942e-04    7.36221827e-02
 4600.000000    6.06734365e-03    3.13252397e-04    7.36452451e-02
 4700.000000    6.06901168e-03    2.74917845e-04    7.36654915e-02
 4800.000000    6.07047679e-03    2.41409867e-04    7.36832750e-02
 4900.000000    6.07176311e-03    2.11897441e-04    7.36988883e-02
 5000.000000    6.07289289e-03    1.86070939e-04    7.37126015e-02
 5100.000000    6.07388485e-03    1.63341652e-04    7.37246419e-02
 5200.000000    6.07475605e-03    1.43433496e-04    7.37352165e-02
 5300.000000    6.07552100e-03    1.25923113e-04    7.37445014e-02
 5400.000000    6.07619280e-03    1.10575780e-04    7.37526558e-02
 5500.000000    6.07678270e-03    9.70828862e-05    7.37598159e-02
 5600.000000    6.07730075e-03    8.52507646e-05    7.37661040e-02
 5700.000000    6.07775565e-03    7.48517714e-05    7.37716255e-02
 5800.000000    6.07815513e-03    6.57292712e-05    7.37764745e-02
 5900.000000    6.07850592e-03    5.77136634e-05    7.37807324e-02
 6000.000000    6.07881398e-03    5.06799950e-05    7.37844716e-02
 6100.000000    6.07908450e-03    4.45008721e-05    7.37877551e-02
 6200.000000    6.07932205e-03    3.90775791e-05    7.37906385e-02
 6300.000000    6.07953066e-03    3.43137982e-05    7.37931705e-02
 6400.000000    6.07971385e-03    3.01320812e-05    7.37953941e-02
 6500.000000    6.07987471e-03    2.64592319e-05    7.37973467e-02
 6600.000000    6.08001597e-03    2.32347903e-05    7.37990613e-02
 6700.000000    6.08014002e-03    2.04029127e-05    7.38005670e-02
 6800.000000    6.08024896e-03    1.79165698e-05    7.38018893e-02
 6900.000000    6.08034462e-03    1.57330299e-05    7.38030504e-02
 7000.000000    6.08042863e-03    1.38158060e-05    7.38040701e-02
 7100.000000    6.08050239e-03    1.21321270e-05    7.38049655e-02
 7200.000000    6.08056717e-03    1.06537374e-05    7.38057518e-02
 7300.000000    6.08062406e-03    9.35546341e-06    7.38064423e-02
