        Time                 U                 r                K
  100.000000    6.62748839e-04               inf    3.89350247e-02
  200.000000    9.56688282e-04    4.43515592e-01    5.62033152e-02
  300.000000    1.10745249e-03    1.57589686e-01    6.50603780e-02
  400.000000    1.18693147e-03    7.17673989e-02    6.97295921e-02
  500.000000    1.22918987e-03    3.56030617e-02    7.22121791e-02
  600.000000    1.25171211e-03    1.83228321e-02    7.35353108e-02
  700.000000    1.26371845e-03    9.59193973e-03    7.42406570e-02
  800.000000    1.27011667e-03    5.06300408e-03    7.46165378e-02
  900.000000    1.27352514e-03    2.68359077e-03    7.48167780e-02
 1000.000000    1.27534059e-03    1.42553180e-03    7.49234317e-02
 1100.000000    1.27630751e-03    7.58165383e-04    7.49802361e-02
 1200.000000    1.27682251e-03    4.03506798e-04    7.50104911e-02
 1300.000000    1.27709682e-03    2.14837027e-04    7.50266061e-02
 1400.000000    1.27724293e-03    1.14409777e-04    7.50351899e-02
 1500.000000    1.27732076e-03    6.09352475e-05    7.50397622e-02
 1600.000000    1.27736221e-03    3.24564333e-05    7.50421977e-02
 1700.000000    1.27738430e-03    1.72881095e-05    7.50434951e-02
 1800.000000    1.27739606e-03    9.20882636e-06    7.50441861e-02
